Measure	Value	Library
Total Sequences	20917995	JVD159_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD159_R1_rmphix_fastqc
Sequence length	50-151	JVD159_R1_rmphix_fastqc
%GC	62	JVD159_R1_rmphix_fastqc
Filename	JVD159_R2_rmphix.fq.gz	JVD159_R2_rmphix_fastqc
File type	Conventional base calls	JVD159_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD159_R2_rmphix_fastqc
Total Sequences	20917995	JVD159_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD159_R2_rmphix_fastqc
Sequence length	50-151	JVD159_R2_rmphix_fastqc
%GC	63	JVD159_R2_rmphix_fastqc
Filename	JVD17_R1_rmphix.fq.gz	JVD17_R1_rmphix_fastqc
File type	Conventional base calls	JVD17_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD17_R1_rmphix_fastqc
Total Sequences	22259622	JVD17_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD17_R1_rmphix_fastqc
Sequence length	50-151	JVD17_R1_rmphix_fastqc
%GC	61	JVD17_R1_rmphix_fastqc
Filename	JVD17_R2_rmphix.fq.gz	JVD17_R2_rmphix_fastqc
File type	Conventional base calls	JVD17_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD17_R2_rmphix_fastqc
Total Sequences	22259622	JVD17_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD17_R2_rmphix_fastqc
Sequence length	50-151	JVD17_R2_rmphix_fastqc
%GC	61	JVD17_R2_rmphix_fastqc
Filename	JVD18_R1_rmphix.fq.gz	JVD18_R1_rmphix_fastqc
File type	Conventional base calls	JVD18_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD18_R1_rmphix_fastqc
Total Sequences	25525160	JVD18_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD18_R1_rmphix_fastqc
Sequence length	50-151	JVD18_R1_rmphix_fastqc
%GC	64	JVD18_R1_rmphix_fastqc
Filename	JVD18_R2_rmphix.fq.gz	JVD18_R2_rmphix_fastqc
File type	Conventional base calls	JVD18_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD18_R2_rmphix_fastqc
Total Sequences	25525160	JVD18_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD18_R2_rmphix_fastqc
Sequence length	50-151	JVD18_R2_rmphix_fastqc
%GC	65	JVD18_R2_rmphix_fastqc
Filename	JVD19_R1_rmphix.fq.gz	JVD19_R1_rmphix_fastqc
File type	Conventional base calls	JVD19_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD19_R1_rmphix_fastqc
Total Sequences	22961823	JVD19_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD19_R1_rmphix_fastqc
Sequence length	50-151	JVD19_R1_rmphix_fastqc
%GC	64	JVD19_R1_rmphix_fastqc
Filename	JVD19_R2_rmphix.fq.gz	JVD19_R2_rmphix_fastqc
File type	Conventional base calls	JVD19_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD19_R2_rmphix_fastqc
Total Sequences	22961823	JVD19_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD19_R2_rmphix_fastqc
Sequence length	50-151	JVD19_R2_rmphix_fastqc
%GC	64	JVD19_R2_rmphix_fastqc
Filename	JVD201_R1_rmphix.fq.gz	JVD201_R1_rmphix_fastqc
File type	Conventional base calls	JVD201_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD201_R1_rmphix_fastqc
Total Sequences	30466946	JVD201_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD201_R1_rmphix_fastqc
Sequence length	50-151	JVD201_R1_rmphix_fastqc
%GC	57	JVD201_R1_rmphix_fastqc
Filename	JVD201_R2_rmphix.fq.gz	JVD201_R2_rmphix_fastqc
File type	Conventional base calls	JVD201_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD201_R2_rmphix_fastqc
Total Sequences	30466946	JVD201_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD201_R2_rmphix_fastqc
Sequence length	50-151	JVD201_R2_rmphix_fastqc
%GC	57	JVD201_R2_rmphix_fastqc
Filename	JVD202_R1_rmphix.fq.gz	JVD202_R1_rmphix_fastqc
File type	Conventional base calls	JVD202_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD202_R1_rmphix_fastqc
Total Sequences	27480371	JVD202_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD202_R1_rmphix_fastqc
Sequence length	50-151	JVD202_R1_rmphix_fastqc
%GC	60	JVD202_R1_rmphix_fastqc
Filename	JVD202_R2_rmphix.fq.gz	JVD202_R2_rmphix_fastqc
File type	Conventional base calls	JVD202_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD202_R2_rmphix_fastqc
Total Sequences	27480371	JVD202_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD202_R2_rmphix_fastqc
Sequence length	50-151	JVD202_R2_rmphix_fastqc
%GC	60	JVD202_R2_rmphix_fastqc
Filename	JVD203_R1_rmphix.fq.gz	JVD203_R1_rmphix_fastqc
File type	Conventional base calls	JVD203_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD203_R1_rmphix_fastqc
Total Sequences	31564417	JVD203_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD203_R1_rmphix_fastqc
Sequence length	50-151	JVD203_R1_rmphix_fastqc
%GC	59	JVD203_R1_rmphix_fastqc
Filename	JVD203_R2_rmphix.fq.gz	JVD203_R2_rmphix_fastqc
File type	Conventional base calls	JVD203_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD203_R2_rmphix_fastqc
Total Sequences	31564417	JVD203_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD203_R2_rmphix_fastqc
Sequence length	50-151	JVD203_R2_rmphix_fastqc
%GC	59	JVD203_R2_rmphix_fastqc
Filename	JVD204_R1_rmphix.fq.gz	JVD204_R1_rmphix_fastqc
File type	Conventional base calls	JVD204_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD204_R1_rmphix_fastqc
Total Sequences	30965479	JVD204_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD204_R1_rmphix_fastqc
Sequence length	50-151	JVD204_R1_rmphix_fastqc
%GC	63	JVD204_R1_rmphix_fastqc
Filename	JVD204_R2_rmphix.fq.gz	JVD204_R2_rmphix_fastqc
File type	Conventional base calls	JVD204_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD204_R2_rmphix_fastqc
Total Sequences	30965479	JVD204_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD204_R2_rmphix_fastqc
Sequence length	50-151	JVD204_R2_rmphix_fastqc
%GC	63	JVD204_R2_rmphix_fastqc
Filename	JVD205_R1_rmphix.fq.gz	JVD205_R1_rmphix_fastqc
File type	Conventional base calls	JVD205_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD205_R1_rmphix_fastqc
Total Sequences	30794345	JVD205_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD205_R1_rmphix_fastqc
Sequence length	50-151	JVD205_R1_rmphix_fastqc
%GC	54	JVD205_R1_rmphix_fastqc
Filename	JVD205_R2_rmphix.fq.gz	JVD205_R2_rmphix_fastqc
File type	Conventional base calls	JVD205_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD205_R2_rmphix_fastqc
Total Sequences	30794345	JVD205_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD205_R2_rmphix_fastqc
Sequence length	50-151	JVD205_R2_rmphix_fastqc
%GC	54	JVD205_R2_rmphix_fastqc
Filename	JVD206_R1_rmphix.fq.gz	JVD206_R1_rmphix_fastqc
File type	Conventional base calls	JVD206_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD206_R1_rmphix_fastqc
Total Sequences	27020545	JVD206_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD206_R1_rmphix_fastqc
Sequence length	50-151	JVD206_R1_rmphix_fastqc
%GC	59	JVD206_R1_rmphix_fastqc
Filename	JVD206_R2_rmphix.fq.gz	JVD206_R2_rmphix_fastqc
File type	Conventional base calls	JVD206_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD206_R2_rmphix_fastqc
Total Sequences	27020545	JVD206_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD206_R2_rmphix_fastqc
Sequence length	50-151	JVD206_R2_rmphix_fastqc
%GC	59	JVD206_R2_rmphix_fastqc
Filename	JVD207_R1_rmphix.fq.gz	JVD207_R1_rmphix_fastqc
File type	Conventional base calls	JVD207_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD207_R1_rmphix_fastqc
Total Sequences	31003821	JVD207_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD207_R1_rmphix_fastqc
Sequence length	50-151	JVD207_R1_rmphix_fastqc
%GC	58	JVD207_R1_rmphix_fastqc
Filename	JVD207_R2_rmphix.fq.gz	JVD207_R2_rmphix_fastqc
File type	Conventional base calls	JVD207_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD207_R2_rmphix_fastqc
Total Sequences	31003821	JVD207_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD207_R2_rmphix_fastqc
Sequence length	50-151	JVD207_R2_rmphix_fastqc
%GC	58	JVD207_R2_rmphix_fastqc
Filename	JVD208_R1_rmphix.fq.gz	JVD208_R1_rmphix_fastqc
File type	Conventional base calls	JVD208_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD208_R1_rmphix_fastqc
Total Sequences	474385509	JVD208_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD208_R1_rmphix_fastqc
Sequence length	50-151	JVD208_R1_rmphix_fastqc
%GC	62	JVD208_R1_rmphix_fastqc
Filename	JVD208_R2_rmphix.fq.gz	JVD208_R2_rmphix_fastqc
File type	Conventional base calls	JVD208_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD208_R2_rmphix_fastqc
Total Sequences	474385509	JVD208_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD208_R2_rmphix_fastqc
Sequence length	50-151	JVD208_R2_rmphix_fastqc
%GC	62	JVD208_R2_rmphix_fastqc
Filename	JVD209_R1_rmphix.fq.gz	JVD209_R1_rmphix_fastqc
File type	Conventional base calls	JVD209_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD209_R1_rmphix_fastqc
Total Sequences	31941224	JVD209_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD209_R1_rmphix_fastqc
Sequence length	50-151	JVD209_R1_rmphix_fastqc
%GC	58	JVD209_R1_rmphix_fastqc
Filename	JVD209_R2_rmphix.fq.gz	JVD209_R2_rmphix_fastqc
File type	Conventional base calls	JVD209_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD209_R2_rmphix_fastqc
Total Sequences	31941224	JVD209_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD209_R2_rmphix_fastqc
Sequence length	50-151	JVD209_R2_rmphix_fastqc
%GC	58	JVD209_R2_rmphix_fastqc
Filename	JVD20_R1_rmphix.fq.gz	JVD20_R1_rmphix_fastqc
File type	Conventional base calls	JVD20_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD20_R1_rmphix_fastqc
Total Sequences	32399030	JVD20_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD20_R1_rmphix_fastqc
Sequence length	50-151	JVD20_R1_rmphix_fastqc
%GC	65	JVD20_R1_rmphix_fastqc
Filename	JVD20_R2_rmphix.fq.gz	JVD20_R2_rmphix_fastqc
File type	Conventional base calls	JVD20_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD20_R2_rmphix_fastqc
Total Sequences	32399030	JVD20_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD20_R2_rmphix_fastqc
Sequence length	50-151	JVD20_R2_rmphix_fastqc
%GC	65	JVD20_R2_rmphix_fastqc
Filename	JVD210_R1_rmphix.fq.gz	JVD210_R1_rmphix_fastqc
File type	Conventional base calls	JVD210_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD210_R1_rmphix_fastqc
Total Sequences	30310514	JVD210_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD210_R1_rmphix_fastqc
Sequence length	50-151	JVD210_R1_rmphix_fastqc
%GC	57	JVD210_R1_rmphix_fastqc
Filename	JVD210_R2_rmphix.fq.gz	JVD210_R2_rmphix_fastqc
File type	Conventional base calls	JVD210_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD210_R2_rmphix_fastqc
Total Sequences	30310514	JVD210_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD210_R2_rmphix_fastqc
Sequence length	50-151	JVD210_R2_rmphix_fastqc
%GC	57	JVD210_R2_rmphix_fastqc
Filename	JVD211_R1_rmphix.fq.gz	JVD211_R1_rmphix_fastqc
File type	Conventional base calls	JVD211_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD211_R1_rmphix_fastqc
Total Sequences	30424564	JVD211_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD211_R1_rmphix_fastqc
Sequence length	50-151	JVD211_R1_rmphix_fastqc
%GC	57	JVD211_R1_rmphix_fastqc
Filename	JVD211_R2_rmphix.fq.gz	JVD211_R2_rmphix_fastqc
File type	Conventional base calls	JVD211_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD211_R2_rmphix_fastqc
Total Sequences	30424564	JVD211_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD211_R2_rmphix_fastqc
Sequence length	50-151	JVD211_R2_rmphix_fastqc
%GC	57	JVD211_R2_rmphix_fastqc
Filename	JVD212_R1_rmphix.fq.gz	JVD212_R1_rmphix_fastqc
File type	Conventional base calls	JVD212_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD212_R1_rmphix_fastqc
Total Sequences	31181402	JVD212_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD212_R1_rmphix_fastqc
Sequence length	50-151	JVD212_R1_rmphix_fastqc
%GC	57	JVD212_R1_rmphix_fastqc
Filename	JVD212_R2_rmphix.fq.gz	JVD212_R2_rmphix_fastqc
File type	Conventional base calls	JVD212_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD212_R2_rmphix_fastqc
Total Sequences	31181402	JVD212_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD212_R2_rmphix_fastqc
Sequence length	50-151	JVD212_R2_rmphix_fastqc
%GC	57	JVD212_R2_rmphix_fastqc
Filename	JVD213_R1_rmphix.fq.gz	JVD213_R1_rmphix_fastqc
File type	Conventional base calls	JVD213_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD213_R1_rmphix_fastqc
Total Sequences	26800194	JVD213_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD213_R1_rmphix_fastqc
Sequence length	50-151	JVD213_R1_rmphix_fastqc
%GC	59	JVD213_R1_rmphix_fastqc
Filename	JVD213_R2_rmphix.fq.gz	JVD213_R2_rmphix_fastqc
File type	Conventional base calls	JVD213_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD213_R2_rmphix_fastqc
Total Sequences	26800194	JVD213_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD213_R2_rmphix_fastqc
Sequence length	50-151	JVD213_R2_rmphix_fastqc
%GC	59	JVD213_R2_rmphix_fastqc
Filename	JVD214_R1_rmphix.fq.gz	JVD214_R1_rmphix_fastqc
File type	Conventional base calls	JVD214_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD214_R1_rmphix_fastqc
Total Sequences	30664623	JVD214_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD214_R1_rmphix_fastqc
Sequence length	50-151	JVD214_R1_rmphix_fastqc
%GC	58	JVD214_R1_rmphix_fastqc
Filename	JVD214_R2_rmphix.fq.gz	JVD214_R2_rmphix_fastqc
File type	Conventional base calls	JVD214_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD214_R2_rmphix_fastqc
Total Sequences	30664623	JVD214_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD214_R2_rmphix_fastqc
Sequence length	50-151	JVD214_R2_rmphix_fastqc
%GC	58	JVD214_R2_rmphix_fastqc
Filename	JVD215_R1_rmphix.fq.gz	JVD215_R1_rmphix_fastqc
File type	Conventional base calls	JVD215_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD215_R1_rmphix_fastqc
Total Sequences	31869272	JVD215_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD215_R1_rmphix_fastqc
Sequence length	50-151	JVD215_R1_rmphix_fastqc
%GC	57	JVD215_R1_rmphix_fastqc
Filename	JVD215_R2_rmphix.fq.gz	JVD215_R2_rmphix_fastqc
File type	Conventional base calls	JVD215_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD215_R2_rmphix_fastqc
Total Sequences	31869272	JVD215_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD215_R2_rmphix_fastqc
Sequence length	50-151	JVD215_R2_rmphix_fastqc
%GC	57	JVD215_R2_rmphix_fastqc
Filename	JVD216_R1_rmphix.fq.gz	JVD216_R1_rmphix_fastqc
File type	Conventional base calls	JVD216_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD216_R1_rmphix_fastqc
Total Sequences	25985431	JVD216_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD216_R1_rmphix_fastqc
Sequence length	50-151	JVD216_R1_rmphix_fastqc
%GC	58	JVD216_R1_rmphix_fastqc
Filename	JVD216_R2_rmphix.fq.gz	JVD216_R2_rmphix_fastqc
File type	Conventional base calls	JVD216_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD216_R2_rmphix_fastqc
Total Sequences	25985431	JVD216_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD216_R2_rmphix_fastqc
Sequence length	50-151	JVD216_R2_rmphix_fastqc
%GC	58	JVD216_R2_rmphix_fastqc
Filename	JVD217_R1_rmphix.fq.gz	JVD217_R1_rmphix_fastqc
File type	Conventional base calls	JVD217_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD217_R1_rmphix_fastqc
Total Sequences	32257550	JVD217_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD217_R1_rmphix_fastqc
Sequence length	50-151	JVD217_R1_rmphix_fastqc
%GC	59	JVD217_R1_rmphix_fastqc
Filename	JVD217_R2_rmphix.fq.gz	JVD217_R2_rmphix_fastqc
File type	Conventional base calls	JVD217_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD217_R2_rmphix_fastqc
Total Sequences	32257550	JVD217_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD217_R2_rmphix_fastqc
Sequence length	50-151	JVD217_R2_rmphix_fastqc
%GC	59	JVD217_R2_rmphix_fastqc
Filename	JVD218_R1_rmphix.fq.gz	JVD218_R1_rmphix_fastqc
File type	Conventional base calls	JVD218_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD218_R1_rmphix_fastqc
Total Sequences	31673558	JVD218_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD218_R1_rmphix_fastqc
Sequence length	50-151	JVD218_R1_rmphix_fastqc
%GC	57	JVD218_R1_rmphix_fastqc
Filename	JVD218_R2_rmphix.fq.gz	JVD218_R2_rmphix_fastqc
File type	Conventional base calls	JVD218_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD218_R2_rmphix_fastqc
Total Sequences	31673558	JVD218_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD218_R2_rmphix_fastqc
Sequence length	50-151	JVD218_R2_rmphix_fastqc
%GC	57	JVD218_R2_rmphix_fastqc
Filename	JVD219_R1_rmphix.fq.gz	JVD219_R1_rmphix_fastqc
File type	Conventional base calls	JVD219_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD219_R1_rmphix_fastqc
Total Sequences	28639495	JVD219_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD219_R1_rmphix_fastqc
Sequence length	50-151	JVD219_R1_rmphix_fastqc
%GC	59	JVD219_R1_rmphix_fastqc
Filename	JVD219_R2_rmphix.fq.gz	JVD219_R2_rmphix_fastqc
File type	Conventional base calls	JVD219_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD219_R2_rmphix_fastqc
Total Sequences	28639495	JVD219_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD219_R2_rmphix_fastqc
Sequence length	50-151	JVD219_R2_rmphix_fastqc
%GC	59	JVD219_R2_rmphix_fastqc
Filename	JVD21_R1_rmphix.fq.gz	JVD21_R1_rmphix_fastqc
File type	Conventional base calls	JVD21_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD21_R1_rmphix_fastqc
Total Sequences	23464172	JVD21_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD21_R1_rmphix_fastqc
Sequence length	50-151	JVD21_R1_rmphix_fastqc
%GC	62	JVD21_R1_rmphix_fastqc
Filename	JVD21_R2_rmphix.fq.gz	JVD21_R2_rmphix_fastqc
File type	Conventional base calls	JVD21_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD21_R2_rmphix_fastqc
Total Sequences	23464172	JVD21_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD21_R2_rmphix_fastqc
Sequence length	50-151	JVD21_R2_rmphix_fastqc
%GC	62	JVD21_R2_rmphix_fastqc
Filename	JVD220_R1_rmphix.fq.gz	JVD220_R1_rmphix_fastqc
File type	Conventional base calls	JVD220_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD220_R1_rmphix_fastqc
Total Sequences	27869391	JVD220_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD220_R1_rmphix_fastqc
Sequence length	50-151	JVD220_R1_rmphix_fastqc
%GC	58	JVD220_R1_rmphix_fastqc
Filename	JVD220_R2_rmphix.fq.gz	JVD220_R2_rmphix_fastqc
File type	Conventional base calls	JVD220_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD220_R2_rmphix_fastqc
Total Sequences	27869391	JVD220_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD220_R2_rmphix_fastqc
Sequence length	50-151	JVD220_R2_rmphix_fastqc
%GC	58	JVD220_R2_rmphix_fastqc
Filename	JVD221_R1_rmphix.fq.gz	JVD221_R1_rmphix_fastqc
File type	Conventional base calls	JVD221_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD221_R1_rmphix_fastqc
Total Sequences	28371968	JVD221_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD221_R1_rmphix_fastqc
Sequence length	50-151	JVD221_R1_rmphix_fastqc
%GC	59	JVD221_R1_rmphix_fastqc
Filename	JVD221_R2_rmphix.fq.gz	JVD221_R2_rmphix_fastqc
File type	Conventional base calls	JVD221_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD221_R2_rmphix_fastqc
Total Sequences	28371968	JVD221_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD221_R2_rmphix_fastqc
Sequence length	50-151	JVD221_R2_rmphix_fastqc
%GC	59	JVD221_R2_rmphix_fastqc
Filename	JVD222_R1_rmphix.fq.gz	JVD222_R1_rmphix_fastqc
File type	Conventional base calls	JVD222_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD222_R1_rmphix_fastqc
Total Sequences	26599594	JVD222_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD222_R1_rmphix_fastqc
Sequence length	50-151	JVD222_R1_rmphix_fastqc
%GC	59	JVD222_R1_rmphix_fastqc
Filename	JVD222_R2_rmphix.fq.gz	JVD222_R2_rmphix_fastqc
File type	Conventional base calls	JVD222_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD222_R2_rmphix_fastqc
Total Sequences	26599594	JVD222_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD222_R2_rmphix_fastqc
Sequence length	50-151	JVD222_R2_rmphix_fastqc
%GC	59	JVD222_R2_rmphix_fastqc
Filename	JVD223_R1_rmphix.fq.gz	JVD223_R1_rmphix_fastqc
File type	Conventional base calls	JVD223_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD223_R1_rmphix_fastqc
Total Sequences	30950568	JVD223_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD223_R1_rmphix_fastqc
Sequence length	50-151	JVD223_R1_rmphix_fastqc
%GC	57	JVD223_R1_rmphix_fastqc
Filename	JVD223_R2_rmphix.fq.gz	JVD223_R2_rmphix_fastqc
File type	Conventional base calls	JVD223_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD223_R2_rmphix_fastqc
Total Sequences	30950568	JVD223_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD223_R2_rmphix_fastqc
Sequence length	50-151	JVD223_R2_rmphix_fastqc
%GC	57	JVD223_R2_rmphix_fastqc
Filename	JVD224_R1_rmphix.fq.gz	JVD224_R1_rmphix_fastqc
File type	Conventional base calls	JVD224_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD224_R1_rmphix_fastqc
Total Sequences	25975108	JVD224_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD224_R1_rmphix_fastqc
Sequence length	50-151	JVD224_R1_rmphix_fastqc
%GC	59	JVD224_R1_rmphix_fastqc
Filename	JVD224_R2_rmphix.fq.gz	JVD224_R2_rmphix_fastqc
File type	Conventional base calls	JVD224_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD224_R2_rmphix_fastqc
Total Sequences	25975108	JVD224_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD224_R2_rmphix_fastqc
Sequence length	50-151	JVD224_R2_rmphix_fastqc
%GC	59	JVD224_R2_rmphix_fastqc
Filename	JVD225_R1_rmphix.fq.gz	JVD225_R1_rmphix_fastqc
File type	Conventional base calls	JVD225_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD225_R1_rmphix_fastqc
Total Sequences	31084818	JVD225_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD225_R1_rmphix_fastqc
Sequence length	50-151	JVD225_R1_rmphix_fastqc
%GC	57	JVD225_R1_rmphix_fastqc
Filename	JVD225_R2_rmphix.fq.gz	JVD225_R2_rmphix_fastqc
File type	Conventional base calls	JVD225_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD225_R2_rmphix_fastqc
Total Sequences	31084818	JVD225_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD225_R2_rmphix_fastqc
Sequence length	50-151	JVD225_R2_rmphix_fastqc
%GC	57	JVD225_R2_rmphix_fastqc
Filename	JVD226_R1_rmphix.fq.gz	JVD226_R1_rmphix_fastqc
File type	Conventional base calls	JVD226_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD226_R1_rmphix_fastqc
Total Sequences	31135598	JVD226_R1_rmphix_fastqc
Sequences flagged as poor quality	0	JVD226_R1_rmphix_fastqc
Sequence length	50-151	JVD226_R1_rmphix_fastqc
%GC	59	JVD226_R1_rmphix_fastqc
Filename	JVD226_R2_rmphix.fq.gz	JVD226_R2_rmphix_fastqc
File type	Conventional base calls	JVD226_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	JVD226_R2_rmphix_fastqc
Total Sequences	31135598	JVD226_R2_rmphix_fastqc
Sequences flagged as poor quality	0	JVD226_R2_rmphix_fastqc
