SampleID	DNAID	Profile	Description	fwd1	rvs1	fwd2	rvs2	fwd3	rvs3	fwd4	rvs4	fwd5	rvs5	fwd6	rvs6
JEP220	JVD220	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD220_S20_L003_R1_001.fastq.gz	JVD220_S20_L003_R2_001.fastq.gz										
JEP221	JVD221	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD221_S21_L003_R1_001.fastq.gz	JVD221_S21_L003_R2_001.fastq.gz	JVD221_S15_L002_R1_001.fastq.gz	JVD221_S15_L002_R2_001.fastq.gz								
JEP222	JVD222	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD222_S22_L003_R1_001.fastq.gz	JVD222_S22_L003_R2_001.fastq.gz										
JEP223	JVD223	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD223_S23_L003_R1_001.fastq.gz	JVD223_S23_L003_R2_001.fastq.gz	JVD223_S16_L002_R1_001.fastq.gz	JVD223_S16_L002_R2_001.fastq.gz								
JEP224	JVD224	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD224_S24_L003_R1_001.fastq.gz	JVD224_S24_L003_R2_001.fastq.gz										
JEP225	JVD225	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD225_S25_L003_R1_001.fastq.gz	JVD225_S25_L003_R2_001.fastq.gz	JVD225_S17_L002_R1_001.fastq.gz	JVD225_S17_L002_R2_001.fastq.gz								
JEP226	JVD226	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD226_S26_L003_R1_001.fastq.gz	JVD226_S26_L003_R2_001.fastq.gz										
JEP227	JVD227	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD227_S27_L003_R1_001.fastq.gz	JVD227_S27_L003_R2_001.fastq.gz	JVD227_S18_L002_R1_001.fastq.gz	JVD227_S18_L002_R2_001.fastq.gz								
JEP228	JVD228	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD228_S28_L003_R1_001.fastq.gz	JVD228_S28_L003_R2_001.fastq.gz										
JEP229	JVD229	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD229_S29_L003_R1_001.fastq.gz	JVD229_S29_L003_R2_001.fastq.gz	JVD229_S19_L002_R1_001.fastq.gz	JVD229_S19_L002_R2_001.fastq.gz								
JEP23	JVD23	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD23_S34_L002_R1_001.fastq.gz	JVD23_S34_L002_R2_001.fastq.gz	JVD23_S98_L004_R1_001.fastq.gz	JVD23_S98_L004_R2_001.fastq.gz	JVD23_S5_L003_R1_001.fastq.gz	JVD23_S5_L003_R2_001.fastq.gz	JVD23_S5_L002_R1_001.fastq.gz	JVD23_S5_L002_R2_001.fastq.gz	JVD23_S5_L001_R1_001.fastq.gz	JVD23_S5_L001_R2_001.fastq.gz		
JEP230	JVD230	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD230_S30_L003_R1_001.fastq.gz	JVD230_S30_L003_R2_001.fastq.gz	JVD230_S20_L002_R1_001.fastq.gz	JVD230_S20_L002_R2_001.fastq.gz								
JEP231	JVD231	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD231_S31_L003_R1_001.fastq.gz	JVD231_S31_L003_R2_001.fastq.gz	JVD231_S21_L002_R1_001.fastq.gz	JVD231_S21_L002_R2_001.fastq.gz								
JEP232	JVD232	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD232_S32_L003_R1_001.fastq.gz	JVD232_S32_L003_R2_001.fastq.gz	JVD232_S22_L002_R1_001.fastq.gz	JVD232_S22_L002_R2_001.fastq.gz								
JEP24	JVD24	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD24_S35_L002_R1_001.fastq.gz	JVD24_S35_L002_R2_001.fastq.gz	JVD24_S99_L004_R1_001.fastq.gz	JVD24_S99_L004_R2_001.fastq.gz	JVD24_S6_L003_R1_001.fastq.gz	JVD24_S6_L003_R2_001.fastq.gz	JVD24_S6_L002_R1_001.fastq.gz	JVD24_S6_L002_R2_001.fastq.gz	JVD24_S6_L001_R1_001.fastq.gz	JVD24_S6_L001_R2_001.fastq.gz		
JEP25	JVD25	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD25_S262_L002_R1_001.fastq.gz	JVD25_S262_L002_R2_001.fastq.gz	JVD25_S326_L004_R1_001.fastq.gz	JVD25_S326_L004_R2_001.fastq.gz	JVD25_S233_L003_R1_001.fastq.gz	JVD25_S233_L003_R2_001.fastq.gz	JVD25_S233_L002_R1_001.fastq.gz	JVD25_S233_L002_R2_001.fastq.gz	JVD25_S233_L001_R1_001.fastq.gz	JVD25_S233_L001_R2_001.fastq.gz		
JEP27	JVD27	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD27_S36_L002_R1_001.fastq.gz	JVD27_S36_L002_R2_001.fastq.gz	JVD27_S100_L004_R1_001.fastq.gz	JVD27_S100_L004_R2_001.fastq.gz	JVD27_S7_L003_R1_001.fastq.gz	JVD27_S7_L003_R2_001.fastq.gz	JVD27_S7_L002_R1_001.fastq.gz	JVD27_S7_L002_R2_001.fastq.gz	JVD27_S7_L001_R1_001.fastq.gz	JVD27_S7_L001_R2_001.fastq.gz		
JEP28	JVD28	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD28_S37_L002_R1_001.fastq.gz	JVD28_S37_L002_R2_001.fastq.gz	JVD28_S101_L004_R1_001.fastq.gz	JVD28_S101_L004_R2_001.fastq.gz	JVD28_S8_L003_R1_001.fastq.gz	JVD28_S8_L003_R2_001.fastq.gz	JVD28_S8_L002_R1_001.fastq.gz	JVD28_S8_L002_R2_001.fastq.gz	JVD28_S8_L001_R1_001.fastq.gz	JVD28_S8_L001_R2_001.fastq.gz		
JEP29	JVD29	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD29_S38_L002_R1_001.fastq.gz	JVD29_S38_L002_R2_001.fastq.gz	JVD29_S102_L004_R1_001.fastq.gz	JVD29_S102_L004_R2_001.fastq.gz	JVD29_S9_L003_R1_001.fastq.gz	JVD29_S9_L003_R2_001.fastq.gz	JVD29_S9_L002_R1_001.fastq.gz	JVD29_S9_L002_R2_001.fastq.gz	JVD29_S9_L001_R1_001.fastq.gz	JVD29_S9_L001_R2_001.fastq.gz		
JEP30	JVD30	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD30_S263_L002_R1_001.fastq.gz	JVD30_S263_L002_R2_001.fastq.gz	JVD30_S327_L004_R1_001.fastq.gz	JVD30_S327_L004_R2_001.fastq.gz	JVD30_S234_L003_R1_001.fastq.gz	JVD30_S234_L003_R2_001.fastq.gz	JVD30_S234_L002_R1_001.fastq.gz	JVD30_S234_L002_R2_001.fastq.gz	JVD30_S234_L001_R1_001.fastq.gz	JVD30_S234_L001_R2_001.fastq.gz		
JEP31	JVD31	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD31_S264_L002_R1_001.fastq.gz	JVD31_S264_L002_R2_001.fastq.gz	JVD31_S328_L004_R1_001.fastq.gz	JVD31_S328_L004_R2_001.fastq.gz	JVD31_S235_L003_R1_001.fastq.gz	JVD31_S235_L003_R2_001.fastq.gz	JVD31_S235_L002_R1_001.fastq.gz	JVD31_S235_L002_R2_001.fastq.gz	JVD31_S235_L001_R1_001.fastq.gz	JVD31_S235_L001_R2_001.fastq.gz		
JEP32	JVD32	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD32_S265_L002_R1_001.fastq.gz	JVD32_S265_L002_R2_001.fastq.gz	JVD32_S329_L004_R1_001.fastq.gz	JVD32_S329_L004_R2_001.fastq.gz	JVD32_S236_L003_R1_001.fastq.gz	JVD32_S236_L003_R2_001.fastq.gz	JVD32_S236_L002_R1_001.fastq.gz	JVD32_S236_L002_R2_001.fastq.gz	JVD32_S236_L001_R1_001.fastq.gz	JVD32_S236_L001_R2_001.fastq.gz		
JEP33	JVD33	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD33_S39_L002_R1_001.fastq.gz	JVD33_S39_L002_R2_001.fastq.gz	JVD33_S103_L004_R1_001.fastq.gz	JVD33_S103_L004_R2_001.fastq.gz	JVD33_S10_L003_R1_001.fastq.gz	JVD33_S10_L003_R2_001.fastq.gz	JVD33_S10_L002_R1_001.fastq.gz	JVD33_S10_L002_R2_001.fastq.gz	JVD33_S10_L001_R1_001.fastq.gz	JVD33_S10_L001_R2_001.fastq.gz		
JEP34	JVD34	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD34_S40_L002_R1_001.fastq.gz	JVD34_S40_L002_R2_001.fastq.gz	JVD34_S104_L004_R1_001.fastq.gz	JVD34_S104_L004_R2_001.fastq.gz	JVD34_S11_L003_R1_001.fastq.gz	JVD34_S11_L003_R2_001.fastq.gz	JVD34_S11_L002_R1_001.fastq.gz	JVD34_S11_L002_R2_001.fastq.gz	JVD34_S11_L001_R1_001.fastq.gz	JVD34_S11_L001_R2_001.fastq.gz		
JEP37	JVD37	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD37_S41_L002_R1_001.fastq.gz	JVD37_S41_L002_R2_001.fastq.gz	JVD37_S105_L004_R1_001.fastq.gz	JVD37_S105_L004_R2_001.fastq.gz	JVD37_S12_L003_R1_001.fastq.gz	JVD37_S12_L003_R2_001.fastq.gz	JVD37_S12_L002_R1_001.fastq.gz	JVD37_S12_L002_R2_001.fastq.gz	JVD37_S12_L001_R1_001.fastq.gz	JVD37_S12_L001_R2_001.fastq.gz	JVD37_S352_L001_R1_001.fastq.gz	JVD37_S352_L001_R2_001.fastq.gz
JEP39	JVD39	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD39_S42_L002_R1_001.fastq.gz	JVD39_S42_L002_R2_001.fastq.gz	JVD39_S106_L004_R1_001.fastq.gz	JVD39_S106_L004_R2_001.fastq.gz	JVD39_S13_L003_R1_001.fastq.gz	JVD39_S13_L003_R2_001.fastq.gz	JVD39_S13_L002_R1_001.fastq.gz	JVD39_S13_L002_R2_001.fastq.gz	JVD39_S13_L001_R1_001.fastq.gz	JVD39_S13_L001_R2_001.fastq.gz		
JEP41	JVD41	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD41_S43_L002_R1_001.fastq.gz	JVD41_S43_L002_R2_001.fastq.gz	JVD41_S107_L004_R1_001.fastq.gz	JVD41_S107_L004_R2_001.fastq.gz	JVD41_S14_L003_R1_001.fastq.gz	JVD41_S14_L003_R2_001.fastq.gz	JVD41_S14_L002_R1_001.fastq.gz	JVD41_S14_L002_R2_001.fastq.gz	JVD41_S14_L001_R1_001.fastq.gz	JVD41_S14_L001_R2_001.fastq.gz		
JEP42	JVD42	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD42_S44_L002_R1_001.fastq.gz	JVD42_S44_L002_R2_001.fastq.gz	JVD42_S108_L004_R1_001.fastq.gz	JVD42_S108_L004_R2_001.fastq.gz	JVD42_S15_L003_R1_001.fastq.gz	JVD42_S15_L003_R2_001.fastq.gz	JVD42_S15_L002_R1_001.fastq.gz	JVD42_S15_L002_R2_001.fastq.gz	JVD42_S15_L001_R1_001.fastq.gz	JVD42_S15_L001_R2_001.fastq.gz		
JEP43	JVD43	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD43_S45_L002_R1_001.fastq.gz	JVD43_S45_L002_R2_001.fastq.gz	JVD43_S109_L004_R1_001.fastq.gz	JVD43_S109_L004_R2_001.fastq.gz	JVD43_S16_L003_R1_001.fastq.gz	JVD43_S16_L003_R2_001.fastq.gz	JVD43_S16_L002_R1_001.fastq.gz	JVD43_S16_L002_R2_001.fastq.gz	JVD43_S16_L001_R1_001.fastq.gz	JVD43_S16_L001_R2_001.fastq.gz		
JEP44	JVD44	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD44_S46_L002_R1_001.fastq.gz	JVD44_S46_L002_R2_001.fastq.gz	JVD44_S110_L004_R1_001.fastq.gz	JVD44_S110_L004_R2_001.fastq.gz	JVD44_S17_L003_R1_001.fastq.gz	JVD44_S17_L003_R2_001.fastq.gz	JVD44_S17_L002_R1_001.fastq.gz	JVD44_S17_L002_R2_001.fastq.gz	JVD44_S17_L001_R1_001.fastq.gz	JVD44_S17_L001_R2_001.fastq.gz		
JEP45	JVD45	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD45_S47_L002_R1_001.fastq.gz	JVD45_S47_L002_R2_001.fastq.gz	JVD45_S111_L004_R1_001.fastq.gz	JVD45_S111_L004_R2_001.fastq.gz	JVD45_S18_L003_R1_001.fastq.gz	JVD45_S18_L003_R2_001.fastq.gz	JVD45_S18_L002_R1_001.fastq.gz	JVD45_S18_L002_R2_001.fastq.gz	JVD45_S18_L001_R1_001.fastq.gz	JVD45_S18_L001_R2_001.fastq.gz		
JEP46	JVD46	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD46_S48_L002_R1_001.fastq.gz	JVD46_S48_L002_R2_001.fastq.gz	JVD46_S112_L004_R1_001.fastq.gz	JVD46_S112_L004_R2_001.fastq.gz	JVD46_S19_L003_R1_001.fastq.gz	JVD46_S19_L003_R2_001.fastq.gz	JVD46_S19_L002_R1_001.fastq.gz	JVD46_S19_L002_R2_001.fastq.gz	JVD46_S19_L001_R1_001.fastq.gz	JVD46_S19_L001_R2_001.fastq.gz		
JEP47	JVD47	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD47_S49_L002_R1_001.fastq.gz	JVD47_S49_L002_R2_001.fastq.gz	JVD47_S113_L004_R1_001.fastq.gz	JVD47_S113_L004_R2_001.fastq.gz	JVD47_S20_L003_R1_001.fastq.gz	JVD47_S20_L003_R2_001.fastq.gz	JVD47_S20_L002_R1_001.fastq.gz	JVD47_S20_L002_R2_001.fastq.gz	JVD47_S20_L001_R1_001.fastq.gz	JVD47_S20_L001_R2_001.fastq.gz		
JEP48	JVD48	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD48_S50_L002_R1_001.fastq.gz	JVD48_S50_L002_R2_001.fastq.gz	JVD48_S114_L004_R1_001.fastq.gz	JVD48_S114_L004_R2_001.fastq.gz	JVD48_S21_L003_R1_001.fastq.gz	JVD48_S21_L003_R2_001.fastq.gz	JVD48_S21_L002_R1_001.fastq.gz	JVD48_S21_L002_R2_001.fastq.gz	JVD48_S21_L001_R1_001.fastq.gz	JVD48_S21_L001_R2_001.fastq.gz		
JEP49	JVD49	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD49_S51_L002_R1_001.fastq.gz	JVD49_S51_L002_R2_001.fastq.gz	JVD49_S115_L004_R1_001.fastq.gz	JVD49_S115_L004_R2_001.fastq.gz	JVD49_S22_L003_R1_001.fastq.gz	JVD49_S22_L003_R2_001.fastq.gz	JVD49_S22_L002_R1_001.fastq.gz	JVD49_S22_L002_R2_001.fastq.gz	JVD49_S22_L001_R1_001.fastq.gz	JVD49_S22_L001_R2_001.fastq.gz		
JEP50	JVD50	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD50_S52_L002_R1_001.fastq.gz	JVD50_S52_L002_R2_001.fastq.gz	JVD50_S116_L004_R1_001.fastq.gz	JVD50_S116_L004_R2_001.fastq.gz	JVD50_S23_L003_R1_001.fastq.gz	JVD50_S23_L003_R2_001.fastq.gz	JVD50_S23_L002_R1_001.fastq.gz	JVD50_S23_L002_R2_001.fastq.gz	JVD50_S23_L001_R1_001.fastq.gz	JVD50_S23_L001_R2_001.fastq.gz		
JEP51	JVD51	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD51_S53_L002_R1_001.fastq.gz	JVD51_S53_L002_R2_001.fastq.gz	JVD51_S117_L004_R1_001.fastq.gz	JVD51_S117_L004_R2_001.fastq.gz	JVD51_S24_L003_R1_001.fastq.gz	JVD51_S24_L003_R2_001.fastq.gz	JVD51_S24_L002_R1_001.fastq.gz	JVD51_S24_L002_R2_001.fastq.gz	JVD51_S24_L001_R1_001.fastq.gz	JVD51_S24_L001_R2_001.fastq.gz		
JEP52	JVD52	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD52_S54_L002_R1_001.fastq.gz	JVD52_S54_L002_R2_001.fastq.gz	JVD52_S118_L004_R1_001.fastq.gz	JVD52_S118_L004_R2_001.fastq.gz	JVD52_S25_L003_R1_001.fastq.gz	JVD52_S25_L003_R2_001.fastq.gz	JVD52_S25_L002_R1_001.fastq.gz	JVD52_S25_L002_R2_001.fastq.gz	JVD52_S25_L001_R1_001.fastq.gz	JVD52_S25_L001_R2_001.fastq.gz		
JEP53	JVD53	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD53_S55_L002_R1_001.fastq.gz	JVD53_S55_L002_R2_001.fastq.gz	JVD53_S119_L004_R1_001.fastq.gz	JVD53_S119_L004_R2_001.fastq.gz	JVD53_S26_L003_R1_001.fastq.gz	JVD53_S26_L003_R2_001.fastq.gz	JVD53_S26_L002_R1_001.fastq.gz	JVD53_S26_L002_R2_001.fastq.gz	JVD53_S26_L001_R1_001.fastq.gz	JVD53_S26_L001_R2_001.fastq.gz		
JEP54	JVD54	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD54_S56_L002_R1_001.fastq.gz	JVD54_S56_L002_R2_001.fastq.gz	JVD54_S120_L004_R1_001.fastq.gz	JVD54_S120_L004_R2_001.fastq.gz	JVD54_S27_L003_R1_001.fastq.gz	JVD54_S27_L003_R2_001.fastq.gz	JVD54_S27_L002_R1_001.fastq.gz	JVD54_S27_L002_R2_001.fastq.gz	JVD54_S27_L001_R1_001.fastq.gz	JVD54_S27_L001_R2_001.fastq.gz		
JEP55	JVD55	DNase-treated virome of grassland soil	Viral-size-fractionation (0.22 um) of fresh soil samples followed by a Dnase incubation to remove extracellular DNA. DNA extraction was performed with the PowerSoil Pro kit (QIAGEN). Whole shotgun metagenomic library was built with the DNA Hyper Prep Kit (Kapa Biosystems-Roche)	JVD55_S57_L002_R1_001.fastq.gz	JVD55_S57_L002_R2_001.fastq.gz	JVD55_S121_L004_R1_001.fastq.gz	JVD55_S121_L004_R2_001.fastq.gz	JVD55_S28_L003_R1_001.fastq.gz	JVD55_S28_L003_R2_001.fastq.gz	JVD55_S28_L002_R1_001.fastq.gz	JVD55_S28_L002_R2_001.fastq.gz	JVD55_S28_L001_R1_001.fastq.gz	JVD55_S28_L001_R2_001.fastq.gz		
